"sound","word","condition","speaker","plsIntvl","plsIntvlNorm","points","pointsNorm","pointsOrig","file","intensityOrig","conditionNorm","conditionNorm2","wordType","conditionWord"
"^u","tawsː_^ulo_","Free narrative","M40",0.00610000000000355,0.0771175726928418,-0.0136499999999984,-0.172566371681402,0.040300000000002,"07__M35__M40_free_narr",78.3887,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00609999999998934,0.0771175726926622,-0.00755000000000194,-0.0954487989886504,0.0464000000000055,"07__M35__M40_free_narr",77.823,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"^u","tawsː_^ulo_","Free narrative","M40",0.00620000000000687,0.0783817951960444,-0.00140000000000384,-0.0176991150442971,0.0524999999999949,"07__M35__M40_free_narr",76.7554,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00629999999999598,0.0796460176990673,0.00484999999999758,0.0613147914032588,0.0587000000000018,"07__M35__M40_free_narr",75.4022,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.0063999999999993,0.0809102402022699,0.0111999999999952,0.141592920353927,0.0649999999999977,"07__M35__M40_free_narr",74.5003,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00629999999999598,0.0796460176990673,0.0175499999999928,0.221871049304596,0.071399999999997,"07__M35__M40_free_narr",74.5175,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.0063999999999993,0.0809102402022699,0.0238999999999905,0.302149178255265,0.077699999999993,"07__M35__M40_free_narr",75.3155,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00650000000000261,0.0821744627054725,0.0303499999999914,0.383691529709136,0.0840999999999923,"07__M35__M40_free_narr",76.2868,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00650000000000261,0.0821744627054725,0.0368499999999941,0.465865992414608,0.0905999999999949,"07__M35__M40_free_narr",77.0014,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00650000000000261,0.0821744627054725,0.0433499999999967,0.548040455120081,0.0970999999999975,"07__M35__M40_free_narr",77.3618,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00659999999999172,0.0834386852084954,0.0498999999999938,0.630847029077065,0.1036,"07__M35__M40_free_narr",77.3979,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00670000000000925,0.0847029077118776,0.0565499999999943,0.714917825537251,0.110199999999992,"07__M35__M40_free_narr",77.2266,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00679999999999836,0.0859671302149006,0.0632999999999981,0.80025284450064,0.116900000000001,"07__M35__M40_free_narr",76.9761,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00669999999999504,0.084702907711698,0.0700499999999948,0.88558786346394,0.123699999999999,"07__M35__M40_free_narr",76.9942,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
"l","tawsː_^ulo_","Free narrative","M40",0.00690000000000168,0.0872313527181031,0.0768499999999932,0.97155499367884,0.130399999999995,"07__M35__M40_free_narr",77.0481,"Free narrative","l, Free narrative","l","Free narrative, tawsː_^ulo_"
