file	token_code	speaker	word	prodType	v1	v2	consonant	creakType	creakStart	creakEnd	V1start	Cstart	V2start	V2end	v1_max_int	c_min_int	v2_max_int	c_mean_int	c_mean_int_norm	left_point	f0_left_hz	f0_left_db	h2_left_hz	h2_left_db	a1_left_hz	a1_left_db	a2_left_hz	a2_left_db	mid_point	f0_mid_hz	f0_mid_db	h2_mid_hz	h2_mid_db	a1_mid_hz	a1_mid_db	a2_mid_hz	a2_mid_db	right_point	f0_right_hz	f0_right_db	h2_right_hz	h2_right_db	a1_right_hz	a1_right_db	a2_right_hz	a2_right_db
07_M35_M40_free_narr	21	M40	žiradolosːulow	Free narrative	u	o	l	-	0	0	199.196	199.227	199.309	199.391	75.87	75.22	74.66	75.80	71.18	0.1	109.38	33.59	211.38	47.85	421.88	39.80	1078.12	16.25	0.5	109.38	30.78	220.09	48.12	437.50	44.06	906.25	15.65	0.9	109.38	29.66	220.38	47.20	437.50	43.07	906.25	13.20
07_M35_M40_free_narr	22	M35	wulˀondid	Free narrative	u	o	lˀ	-	0	0	205.396	205.441	205.515	205.567	70.93	63.69	71.31	66.05	64.31	0.1	125.00	35.69	250.00	38.30	343.75	22.50	890.62	21.97	0.5	140.62	27.49	261.54	34.31	250.00	34.31	875.00	14.17	0.9	140.62	35.49	281.25	37.44	390.62	31.82	1000.00	20.11
07_M35_M40_free_narr	23	M35	zolo	Free narrative	o	o	l	-	0	0	206.496	206.530	206.592	206.645	76.87	74.39	76.81	75.86	69.35	0.1	156.25	43.01	303.19	47.35	296.88	47.35	1062.50	30.12	0.5	156.25	44.29	324.85	45.35	328.12	45.35	984.38	31.56	0.9	171.88	38.80	340.88	49.35	343.75	49.35	1015.62	34.83
07_M35_M40_free_narr	24	M35	wulˀon	Free narrative	u	o	lˀ	-	0	0	209.721	209.764	209.833	209.919	72.71	74.20	75.62	76.56	71.03	0.1	171.88	34.33	343.75	47.47	343.75	47.47	1031.25	28.90	0.5	171.88	35.43	349.41	49.73	359.38	49.73	906.25	26.18	0.9	171.88	33.81	343.75	50.83	375.00	48.59	1046.88	31.32
07_M35_M40_free_narr	25	M35	hudalojd	Free narrative	a	o	l	-	0	0	210.192	210.305	210.370	210.440	78.17	74.14	75.61	74.77	69.24	0.1	140.62	37.45	281.25	44.04	437.50	41.10	1234.38	29.48	0.5	140.62	37.97	272.79	44.68	281.25	44.68	1093.75	30.26	0.9	140.62	39.16	281.25	44.19	421.88	40.76	1093.75	30.58
07_M35_M40_free_narr	26	M35	kodilo	Free narrative	i	o	l	-	0	0	219.024	219.052	219.116	219.181	75.08	71.29	75.80	72.90	67.28	0.2	125.00	38.60	250.00	44.08	281.25	40.71	1812.50	27.30	0.5	109.38	36.28	239.29	42.65	250.00	42.64	1484.38	23.13	0.9	125.00	39.91	250.00	46.77	390.62	41.53	1515.62	26.89
07_M35_M40_free_narr	27	M40	wulˀond	Free narrative	u	o	lˀ	-	0	0	230.294	230.322	230.372	230.469	76.94	75.33	75.30	76.06	70.84	0.1	156.25	46.14	310.00	46.44	312.50	46.44	968.75	25.48	0.5	156.25	43.26	320.41	45.27	312.50	45.27	968.75	25.20	0.9	156.25	45.43	324.34	45.97	328.12	45.97	984.38	31.25
07_M35_M40_free_narr	28	M40	wstrečallilˀo	Free narrative	i	o	lˀ	-	0	0	232.307	232.360	232.444	232.494	76.62	73.53	75.49	74.63	69.54	0.2	109.38	30.67	221.95	49.20	218.75	49.20	1296.88	19.72	0.5	109.38	29.05	212.58	46.62	218.75	46.62	1281.25	17.07	0.9	109.38	28.25	217.88	46.80	203.12	46.80	1265.62	12.04
07_M35_M40_free_narr	29	M40	wulˀon	Free narrative	u	o	lˀ	-	0	0	237.535	237.577	237.642	237.706	78.37	76.41	75.22	77.04	71.46	0.1	109.38	32.94	208.97	50.31	250.00	42.42	734.38	25.07	0.5	109.38	31.20	213.60	50.38	250.00	44.14	750.00	20.14	0.9	109.38	30.94	214.61	49.03	250.00	42.91	734.38	20.84
07_M35_M40_free_narr	30	M35	hilˀa	Free narrative	i	a	lˀ	creak	254.648	254.683	254.607	254.633	254.719	254.777	72.51	59.84	76.03	66.86	60.54	0.1	125.00	40.23	263.70	37.25	265.62	37.25	2078.12	9.19	0.5	125.00	26.83	241.74	28.66	296.88	32.44	1640.62	0.52	0.9	140.62	40.02	281.25	40.90	546.88	35.42	1531.25	25.85
07_M35_M40_free_narr	31	M35	masala	Free narrative	a	a	l	-	0	0	261.949	261.974	262.028	262.109	72.95	71.23	75.16	72.38	66.82	0.1	125.00	39.90	250.00	37.01	515.62	41.45	1031.25	29.79	0.5	125.00	40.52	261.10	39.17	531.25	41.25	1031.25	30.68	0.9	125.00	40.23	250.00	40.80	500.00	39.59	1015.62	34.75
07_M35_M40_free_narr	32	M35	misalˀakːu	Free narrative	a	a	lˀ	-	0	0	264.689	264.739	264.812	264.870	74.54	72.27	74.74	73.93	69.12	0.1	140.62	36.48	281.25	37.14	515.62	39.01	1093.75	27.88	0.5	140.62	34.46	273.49	40.59	406.25	46.25	1109.38	30.78	0.9	140.62	35.12	281.25	41.23	437.50	43.54	1109.38	27.68
